BlockId;Coordinates;cv_cox_avg;cv_att_avg;cv_cox_dict;cv_att_dict
220710055001008;[[29.991757999999997, -90.109419], [29.992109, -90.109312], [29.992383999999998, -90.10924], [29.992659999999997, -90.10919299999999], [29.99271, -90.109184], [29.993902, -90.109059], [29.993806, -90.108097], [29.992053, -90.10833], [29.991854, -90.108711], [29.991735, -90.109038], [29.991726, -90.109224], [29.991757999999997, -90.109419]];5.290000000000001;12.099999999999996;{"4.49": 2, "5.37": 20};{"12.1": 22}
220710055001007;[[29.992544, -90.10737999999999], [29.992053, -90.10833], [29.993806, -90.108097], [29.993723, -90.107261], [29.992544, -90.10737999999999]];5.370000000000001;12.099999999999996;{"5.37": 22};{"12.1": 22}
220710055001006;[[29.992849, -90.10645199999999], [29.99131, -90.10949699999999], [29.991757999999997, -90.109419], [29.991726, -90.109224], [29.991735, -90.109038], [29.991854, -90.108711], [29.992053, -90.10833], [29.992544, -90.10737999999999], [29.993723, -90.107261], [29.993700999999998, -90.107023], [29.993641, -90.106366], [29.992849, -90.10645199999999]];5.369999999999999;12.099999999999998;{"5.37": 7};{"12.1": 7}
220710055001005;[[29.993613999999997, -90.10529199999999], [29.993615, -90.105206], [29.993617, -90.104912], [29.992849, -90.10645199999999], [29.993641, -90.106366], [29.993613, -90.10603599999999], [29.993613999999997, -90.10529199999999]];5.37;12.1;{"5.37": 4};{"12.1": 4}
220710055001021;[[29.989255, -90.103279], [29.989364, -90.104554], [29.989448, -90.10553499999999], [29.990302999999997, -90.105435], [29.990194, -90.10418], [29.990195999999997, -90.10395799999999], [29.990211, -90.103723], [29.989659, -90.103472], [29.989255, -90.103279]];5.37;12.1;{"5.37": 1};{"12.1": 1}
220710055003005;[[29.994352, -90.11156299999999], [29.994425, -90.112454], [29.994878, -90.112399], [29.994988, -90.11237799999999], [29.995058999999998, -90.11238399999999], [29.995096999999998, -90.112406], [29.995144, -90.112517], [29.995245999999998, -90.113023], [29.995262, -90.113142], [29.99524, -90.113207], [29.995223, -90.113233], [29.995202, -90.113252], [29.995174, -90.113271], [29.995106999999997, -90.113288], [29.994926, -90.11330699999999], [29.994498999999998, -90.11334699999999], [29.994528, -90.11377], [29.994301999999998, -90.113788], [29.994298999999998, -90.11384799999999], [29.99427, -90.11406199999999], [29.994246, -90.11413399999999], [29.994203, -90.114215], [29.994161, -90.11428099999999], [29.994092, -90.11438199999999], [29.993893999999997, -90.114593], [29.993655999999998, -90.114837], [29.993346, -90.11514199999999], [29.993032999999997, -90.115432], [29.992789, -90.11559199999999], [29.992642999999997, -90.11565999999999], [29.992631, -90.11579599999999], [29.993952, -90.115731], [29.994853, -90.115656], [29.994583, -90.115597], [29.994408999999997, -90.115493], [29.994334, -90.115403], [29.994244, -90.115253], [29.994203, -90.11510299999999], [29.994189, -90.11497], [29.994196, -90.11483799999999], [29.994228999999997, -90.114718], [29.994293, -90.114595], [29.99436, -90.11450699999999], [29.994449999999997, -90.114432], [29.994556, -90.114373], [29.994645, -90.11434], [29.994781999999997, -90.114329], [29.994882999999998, -90.11434799999999], [29.994979999999998, -90.11439], [29.995093999999998, -90.114464], [29.995226, -90.11460799999999], [29.995288, -90.114727], [29.995343, -90.114854], [29.995475, -90.115208], [29.995493999999997, -90.114536], [29.995482, -90.11380799999999], [29.995455, -90.11304799999999], [29.995117999999998, -90.111719], [29.994919, -90.110682], [29.994812, -90.109708], [29.994805999999997, -90.109584], [29.994792999999998, -90.10936099999999], [29.994165, -90.10945699999999], [29.994255, -90.110518], [29.994711, -90.110458], [29.994804, -90.111347], [29.994345, -90.111471], [29.994352, -90.11156299999999]];5.369999999999999;12.099999999999998;{"5.37": 10};{"12.1": 10}
220710055003006;[[29.995144, -90.112517], [29.995096999999998, -90.112406], [29.995058999999998, -90.11238399999999], [29.994988, -90.11237799999999], [29.994878, -90.112399], [29.994425, -90.112454], [29.994498999999998, -90.11334699999999], [29.994926, -90.11330699999999], [29.995106999999997, -90.113288], [29.995174, -90.113271], [29.995202, -90.113252], [29.995223, -90.113233], [29.99524, -90.113207], [29.995262, -90.113142], [29.995245999999998, -90.113023], [29.995144, -90.112517]];5.018000000000001;12.1;{"5.37": 3, "4.49": 2};{"12.1": 5}
220710056032011;[[29.996112999999998, -90.113642], [29.996838999999998, -90.113526], [29.997318, -90.11345899999999], [29.997716999999998, -90.11340299999999], [29.997816, -90.113391], [29.997715, -90.112207], [29.996098, -90.11241199999999], [29.996112999999998, -90.113642]];5.289999999999999;12.099999999999996;{"5.37": 10, "4.49": 1};{"12.1": 11}
220710056032009;[[29.996015999999997, -90.111363], [29.996098, -90.11241199999999], [29.997715, -90.112207], [29.997614, -90.11117899999999], [29.996015999999997, -90.111363]];5.370000000000001;12.099999999999996;{"5.37": 19};{"12.1": 19}
220710056032008;[[29.995907, -90.110306], [29.996015999999997, -90.111363], [29.997614, -90.11117899999999], [29.997522999999997, -90.110152], [29.995907, -90.110306]];5.370000000000001;12.099999999999996;{"5.37": 20};{"12.1": 20}
